% This Fundamental Clustering Problems Suite (FCPS) may serve as a minimal test for new invented cluster algorithms.
%
% Every new invented algorithm should at least cluster the FCPS correctly.
%
% The data sets may be used as long as the following citation is referenced in any publication
% concering any of this data:
%
% Alfred Ultsch, Clustering with SOM: U*C, in Proc. Workshop on Self Organizing Feature Maps ,pp 31-37 Paris 2005.
%
% main problem: none, i.e clear defined clusters
%
@relation Hepta

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE class {1,2,3,4,5,6,7}

@data
37.38571945,127.103703008,1
37.3857236425,127.101826524,1
37.3857430475,127.100189312,1
37.3857500375,127.102736412,1
37.3857689375,127.100031768,1
37.385789765,127.103713776,1
37.38584175,127.101032172,1
37.3858838125,127.101376972,1
37.386024645,127.101115664,1
37.3860468875,127.102786168,1
37.3860498825,127.103296072,1
37.3861166925,127.10182312,1
37.38613876,127.10142892,1
37.3861978475,127.102428412,1
37.3862910075,127.101560316,1
37.386316365,127.102309852,1
37.386364255,127.103409712,1
37.3864726875,127.101033232,1
37.3866139425,127.10068512,1
37.386641665,127.100642036,1
37.3866784875,127.100580544,1
37.3867412525,127.103515852,1
37.3867672325,127.100372472,1
37.38677568,127.10281512,1
37.3867926475,127.101112684,1
37.3867959225,127.101158768,1
37.3868062775,127.102667768,1
37.3869474425,127.100296604,1
37.38702628,127.10257174,1
37.3870580875,127.102695392,1
37.38708506,127.103963192,1
37.38714013,127.10109762,1
37.3872334675,127.101874208,1
37.3872998925,127.102429248,1
37.3873231675,127.100199868,1
37.3873503525,127.100196744,1
37.387368685,127.103019888,1
37.3873774075,127.103303556,1
37.3873921925,127.101907692,1
37.3874443,127.10175818,1
37.38745931,127.102321296,1
37.387483915,127.100456832,1
37.3875466025,127.102876136,1
37.3875973125,127.10317934,1
37.3876430275,127.101985516,1
37.3877164175,127.103170192,1
37.3877290625,127.10127902,1
37.3877395325,127.103629508,1
37.3877832025,127.10169792,1
37.38785539,127.102031332,1
37.38793565,127.10236264,1
37.38800739,127.100286024,1
37.388017155,127.100466044,1
37.3880769725,127.103644064,1
37.388108505,127.100728388,1
37.3881096325,127.101715548,1
37.3881099875,127.10001134,1
37.38819741,127.102311596,1
37.388204745,127.1038869,1
37.3883619775,127.101393888,1
37.3884787425,127.102042692,1
37.38850183,127.103224764,1
37.388543195,127.100738352,1
37.3885569175,127.10249472,1
37.38859915,127.103409196,1
37.3886082,127.102152256,1
37.3886896925,127.101821884,1
37.3887146825,127.103221636,1
37.38877719,127.101981992,1
37.3887900425,127.100947076,1
37.3888614025,127.102250192,1
37.3888659825,127.10336634,1
37.3888786725,127.103569168,1
37.388896225,127.10285862,1
37.3888967475,127.100564152,1
37.38890765,127.102465492,1
37.388954045,127.102556172,1
37.389035625,127.100094404,1
37.38904192,127.101896624,1
37.3890580625,127.102774076,1
37.3890734275,127.103804656,1
37.389078775,127.10246524,1
37.389157,127.10129672,1
37.3891867275,127.102872964,1
37.389198985,127.103748488,1
37.3892231825,127.102252396,1
37.3892300125,127.101331476,1
37.3892322225,127.101934024,1
37.389271775,127.100547408,1
37.38930373,127.101944508,1
37.3893529925,127.100720704,1
37.38935735,127.103152332,1
37.3893871025,127.10196194,1
37.3894411275,127.103891436,1
37.38955654,127.103797868,1
37.389572515,127.100343712,1
37.38962388,127.101705804,1
37.38973346,127.102111296,1
37.3898654125,127.103730688,1
37.38991484,127.10081446,1
37.3899375725,127.100422988,1
37.389956235,127.102658428,1
37.3899732825,127.10381276,1
37.38998571,127.103228796,1
37.3900094975,127.100243492,1
37.390069,127.103089236,1
37.390107205,127.1015285,1
37.3901152775,127.1004265,1
37.390164435,127.103028292,1
37.3901839075,127.10129236,1
37.3903265575,127.103236776,1
37.3903607275,127.102716164,1
37.3903941175,127.102574812,1
37.39046115,127.10294276,1
37.39048977,127.10328316,1
37.390601495,127.102331764,1
37.39063599,127.10209134,1
37.3907228625,127.100956388,1
37.390828215,127.103644292,1
37.390887345,127.101623428,1
37.390972165,127.099996632,1
37.391058505,127.100586,1
37.3910757525,127.101112868,1
37.39109266,127.103117584,1
37.3911427575,127.103227448,1
37.3912189575,127.102706756,1
37.3914196425,127.10304974,1
37.3914261775,127.10205978,1
37.391557305,127.103949088,1
37.3916768625,127.102027724,1
37.3917478025,127.100366164,1
37.391822945,127.10156372,1
37.39197674,127.103815916,1
37.3920897475,127.100961992,1
37.39229822,127.101849072,1
37.3923862075,127.10094752,1
37.39240108,127.102019632,1
37.3924361225,127.103755072,1
37.39245554,127.10230092,1
37.3924592425,127.103036512,1
37.3924624425,127.102775312,1
37.3925014675,127.102390508,1
37.3925207125,127.102459416,1
37.3925220075,127.10064008,1
37.39254452,127.100629764,1
37.39258809,127.100084764,1
37.3925885,127.102804428,1
37.3926183075,127.100952696,1
37.392796245,127.102120876,1
37.392851435,127.102036048,1
37.3928619825,127.103749228,1
37.3929062975,127.101838144,1
37.39296245,127.100956016,1
37.3930153975,127.101225848,1
37.3932366425,127.103701592,1
37.3932376425,127.102170964,1
37.393282655,127.10239254,1
37.3933460775,127.10095996,1
37.3933792275,127.100612992,1
37.3933976775,127.1039083,1
37.3934013275,127.102675172,1
37.3934118925,127.103096656,1
37.3934222775,127.10325496,1
37.39342719,127.102598576,1
37.393500685,127.101717392,1
37.3935863025,127.100167552,1
