Point_ID,Final_Label_Heap_Order
0,284.096290
1,258.122581
2,258.123862
3,258.122966
4,258.122662
5,258.123680
6,258.120705
7,258.116130
8,258.123401
9,258.123313
10,284.116438
11,251.119613
12,258.123174
13,242.118889
14,258.123161
15,235.118536
16,288.117866
17,258.123557
18,229.118833
19,258.123959
20,292.117612
21,221.117632
22,258.124499
23,211.119985
24,258.124744
25,292.118430
26,258.125102
27,198.119586
28,258.125031
29,292.119685
30,176.121865
31,258.125174
32,297.117398
33,298.118263
34,298.118164
35,298.117596
36,161.125922
37,299.116958
38,299.116967
39,297.117309
40,292.119535
41,299.117952
42,297.116988
43,296.115685
44,258.125500
45,301.117559
46,296.115622
47,301.117314
48,295.118418
49,147.123946
50,295.117671
51,303.114899
52,292.119754
53,258.126049
54,303.116306
55,294.116757
56,135.123331
57,294.116911
58,305.117529
59,258.126268
60,305.117473
61,293.117118
62,292.119949
63,258.126501
64,133.130321
65,293.117238
66,306.115728
67,293.117092
68,292.120735
69,258.126682
70,306.115918
71,287.118863
72,133.130057
73,287.118811
74,310.116121
75,258.126589
76,278.118219
77,292.120567
78,310.116122
79,133.130033
80,292.124243
81,292.124075
82,292.123974
83,292.124047
84,278.117807
85,292.124047
86,292.123882
87,258.126504
88,292.123829
89,292.123987
90,292.123985
91,292.124077
92,292.123966
93,310.116053
94,292.124141
95,292.123689
96,273.116621
97,292.124355
98,292.121513
99,292.123781
100,292.124573
101,292.124263
102,258.126670
103,133.130093
104,292.124356
105,292.124873
106,292.124576
107,273.116292
108,292.124552
109,310.116287
110,292.124031
111,292.124811
112,292.124531
113,292.124160
114,273.116270
115,292.124163
116,258.127236
117,292.124527
118,292.124537
119,292.121241
120,292.124041
121,310.116181
122,292.124114
123,292.124198
124,133.129908
125,292.124359
126,269.120410
127,258.126169
128,292.124576
129,269.120600
130,310.116542
131,292.121936
132,292.124595
133,269.119580
134,133.129846
135,292.125042
136,258.127204
137,264.118410
138,310.118310
139,292.124699
140,264.118586
141,292.122392
142,258.127481
143,292.124679
144,133.109775
145,264.118539
146,310.118370
147,292.124456
148,258.127185
149,261.120055
150,292.122057
151,261.120107
152,292.125000
153,310.118579
154,258.127548
155,261.119484
156,292.124543
157,258.128287
158,248.121475
159,292.121909
160,258.128757
161,310.118867
162,258.127225
163,258.128255
164,292.124706
165,248.121374
166,258.128434
167,248.121593
168,258.128557
169,258.126924
170,258.128499
171,292.124387
172,310.119492
173,292.122456
174,238.119589
175,238.119596
176,258.128462
177,258.127168
178,292.124693
179,238.119744
180,238.119980
181,258.128278
182,310.119568
183,238.119710
184,292.122939
185,226.118506
186,258.127198
187,258.128351
188,292.124636
189,226.118961
190,226.118268
191,258.128204
192,226.118250
193,226.118222
194,226.118045
195,292.124786
196,226.118075
197,226.118152
198,212.122340
199,258.127694
200,310.119557
201,212.122482
202,212.121850
203,212.122263
204,212.122324
205,258.128424
206,292.122804
207,258.127831
208,258.128353
209,292.125204
210,258.128437
211,258.129014
212,258.127606
213,310.119945
214,292.122600
215,292.124582
216,258.128784
217,258.128110
218,258.128573
219,310.120067
220,292.124402
221,292.123630
222,258.128392
223,258.128423
224,258.128515
225,258.128301
226,292.124295
227,310.120355
228,258.128646
229,292.123579
230,258.128152
231,258.128441
232,292.124463
233,258.128240
234,258.128551
235,292.124567
236,258.128128
237,292.123657
238,258.128263
239,310.120589
240,258.128821
241,258.128186
242,258.128623
243,258.128033
244,292.124953
245,258.128714
246,292.123979
247,258.128007
248,258.128652
249,310.120135
250,258.128645
251,258.128039
252,258.128113
253,258.128587
254,292.124798
255,258.128185
256,258.128300
257,258.128509
258,258.128149
259,258.127918
260,292.123647
261,292.125166
262,310.120518
263,292.124234
264,292.125292
265,310.120338
266,292.124827
267,292.123295
268,292.124902
269,292.124083
270,310.120199
271,292.125229
272,292.124286
273,292.125313
274,310.120233
275,292.123471
276,292.125169
277,292.124693
278,292.125012
279,310.120234
280,292.124645
281,292.124795
282,292.124514
283,292.124784
284,292.124795
285,292.124671
286,292.124904
287,292.124692
288,310.120138
289,292.124690
290,292.124851
291,292.124906
292,292.124925
293,292.124747
294,310.120748
295,310.120967
296,310.121222
297,310.120729
298,310.121015
299,310.121006
300,310.121700
301,310.100553
302,310.121356
303,310.120823
304,310.121827
305,310.121638
306,310.122003
307,310.121852
308,310.121835
309,310.121926
310,310.122060
311,310.121993
