Heap_Position,Original_Index,Inv_Perm
0,103,96
1,114,89
2,104,102
3,107,103
4,108,106
5,101,90
6,100,100
7,97,105
8,96,120
9,118,107
10,92,110
11,98,124
12,95,113
13,109,98
14,121,99
15,93,88
16,105,117
17,117,118
18,119,101
19,106,95
20,115,112
21,116,111
22,110,108
23,102,92
24,99,122
25,170,87
26,113,97
27,120,104
28,111,91
29,163,114
30,175,116
31,160,109
32,155,81
33,164,83
34,94,163
35,169,137
36,112,148
37,166,134
38,181,84
39,177,143
40,179,144
41,172,128
42,167,93
43,154,155
44,174,121
45,178,71
46,158,133
47,168,136
48,153,130
49,159,149
50,152,145
51,64,94
52,78,69
53,162,159
54,156,82
55,75,86
56,157,119
57,71,158
58,161,138
59,176,142
60,67,139
61,62,131
62,88,61
63,171,140
64,72,51
65,85,75
66,165,126
67,180,60
68,83,135
69,52,129
70,77,77
71,45,57
72,82,64
73,173,132
74,91,125
75,65,55
76,86,141
77,70,70
78,81,52
79,90,123
80,89,127
81,32,78
82,54,72
83,33,68
84,38,115
85,87,65
86,55,76
87,25,85
88,15,62
89,1,80
90,5,79
91,28,74
92,23,10
93,42,15
94,51,34
95,19,12
96,0,8
97,26,7
98,13,11
99,14,24
100,6,6
101,18,5
102,2,23
103,3,0
104,27,2
105,7,16
106,4,19
107,9,3
108,22,4
109,31,13
110,10,22
111,21,28
112,20,36
113,12,26
114,29,1
115,84,20
116,30,21
117,16,17
118,17,9
119,56,18
120,8,27
121,44,14
122,24,189
123,79,192
124,11,193
125,74,202
126,66,205
127,80,180
128,41,188
129,69,210
130,48,211
131,61,190
132,73,206
133,46,201
134,37,203
135,68,200
136,47,176
137,35,197
138,58,191
139,60,196
140,63,209
141,76,182
142,59,198
143,39,204
144,40,185
145,50,208
146,182,199
147,211,179
148,36,195
149,49,194
150,206,186
151,199,207
152,193,50
153,198,48
154,186,43
155,43,32
156,189,54
157,204,56
158,57,46
159,53,49
160,197,31
161,191,58
162,201,53
163,34,29
164,184,33
165,205,66
166,188,37
167,207,42
168,194,47
169,195,35
170,202,25
171,200,63
172,210,41
173,209,73
174,187,44
175,185,30
176,136,59
177,196,39
178,183,45
179,147,40
180,127,67
181,203,38
182,141,146
183,190,178
184,192,164
185,144,175
186,150,154
187,208,174
188,128,166
189,122,156
190,131,183
191,138,161
192,123,184
193,124,152
194,149,168
195,148,169
196,139,177
197,137,160
198,142,153
199,146,151
200,135,171
201,133,162
202,125,170
203,134,181
204,143,157
205,126,165
206,132,150
207,151,167
208,145,187
209,140,173
210,129,172
211,130,147
