Point_ID,Final_Label_Heap_Order
0,264.597177
1,264.670835
2,264.544773
3,264.559498
4,264.530068
5,264.613406
6,264.683671
7,264.765550
8,264.443063
9,264.526293
10,264.582717
11,264.543777
12,264.599974
13,264.553509
14,264.615460
15,264.614253
16,264.748451
17,264.623264
18,264.624927
19,264.691171
20,264.644060
21,264.644028
22,264.653308
23,264.628629
24,264.639625
25,264.841267
26,264.636577
27,264.634813
28,264.636921
29,264.644644
30,264.653953
31,264.700477
32,264.779666
33,264.836671
34,264.748842
35,264.746109
36,264.764263
37,264.808357
38,264.648615
39,264.767705
40,264.771591
41,264.778277
42,264.887813
43,264.759996
44,264.747105
45,264.799187
46,264.770624
47,264.794798
48,0.090480
49,264.770369
50,264.793892
51,264.847944
52,264.860468
53,264.762688
54,264.922757
55,264.858520
56,264.762231
57,264.769617
58,264.785368
59,264.772489
60,264.786225
61,264.782598
62,265.022233
63,264.780013
64,264.769335
65,264.985270
66,264.820309
67,264.780303
68,264.821898
69,264.842702
70,264.791787
71,264.794992
72,264.773866
73,264.824316
74,264.764416
75,264.775145
76,264.779802
77,264.795622
78,264.800900
79,264.972960
80,264.801338
81,264.987112
82,264.799033
83,264.802898
84,264.815425
85,264.831603
86,264.995227
87,264.826686
88,264.954395
89,264.889435
90,264.913018
91,264.818985
92,264.815880
93,264.816230
94,264.813862
95,264.853725
96,264.999894
97,264.810665
98,264.812638
99,264.860486
100,264.821355
101,264.819611
102,264.836543
103,264.955731
104,264.828817
105,264.841461
106,264.918459
107,264.857592
108,264.823532
109,264.853307
110,264.875330
111,264.816245
112,264.829615
113,264.820505
114,264.840151
115,264.903232
116,264.896760
117,264.824579
118,264.834436
119,264.869051
120,264.892383
121,264.823293
122,264.893075
123,264.944450
124,264.831436
125,264.823290
126,264.891704
127,264.940378
128,264.826839
129,264.873759
130,264.842806
131,264.931903
132,264.859405
133,264.826367
134,264.827411
135,264.904588
136,264.842226
137,264.949663
138,264.900160
139,265.078214
140,265.040478
141,264.927822
142,265.075431
143,264.836404
144,264.919619
145,264.882841
146,264.902375
147,264.856483
148,264.888397
149,264.941579
150,264.956476
151,264.841851
